feature,importance
booking_origin_frequency,0.3509882820452829
length_of_stay,0.12086114002957425
route_frequency,0.1204365918861601
flight_duration,0.09989601204061202
purchase_lead,0.0845848452228704
flight_hour,0.05666616045541799
total_extras_wanted,0.03141418980754842
wants_extra_baggage,0.024242757333935046
num_passengers,0.019570230308211593
sales_channel_Mobile,0.018021303833181988
wants_preferred_seat,0.01465921041345105
wants_in_flight_meals,0.009967510606634259
is_weekend_flight,0.006945710954094705
flight_day_Wed,0.006717241300233195
flight_day_Tue,0.006372148435339215
flight_day_Sun,0.006227190284840472
flight_day_Mon,0.006166394255280021
flight_day_Thu,0.0060061849874836854
flight_day_Sat,0.0051430162486532805
trip_type_RoundTrip,0.003401019270533961
trip_type_OneWay,0.0017128602806613792
